,title,authorids,authors,TL;DR,abstract,pdf,software,preprint,consent,paperhash,existing_preprints,reviewer/Editor_reassignment_request,reviewer/Editor_reassignment_justification,previous_URL,previous_PDF,response_PDF,data
nyB0xsto715,Human Schema Curation via Causal Association Rule Mining,['aclweb.org/ACL/ARR/2021/September/Paper198/Authors'],['Anonymous'],,"Event schemas are structured knowledge sources defining typical real-world scenarios (e.g., going to an airport). We present a framework for efficient human-in-the-loop construction of a schema library, based on a novel mechanism for schema induction and a well-crafted interface that allows non-experts to ""program"" complex event structures. Associated with this work we release a schema library: a machine readable resource of 232 detailed event schemas, each of which describe a distinct typical scenario in terms of its relevant sub-event structure (what happens in the scenario), participants (who plays a role in the scenario), fine-grained typing of each participant, and the implied relational constraints between them.  We freely release our schema library and custom annotation interface, SchemaBlocks.",/pdf/9dd68281e03d52e1f9107055e8a557e2a27dccf5.pdf,/attachment/27dd1c2bc8b6f48be452a53d0d570fa63c14e92c.tgz,,,anonymous|human_schema_curation_via_causal_association_rule_mining,,,,,,,/attachment/ad385aaa63a530e374190848778e946947967737.tgz
IV5YUaQ4pzG,A Simple and Effective Model for Multi-Hop Question Generation,['aclweb.org/ACL/ARR/2021/September/Paper180/Authors'],['Anonymous'],,"Previous research on automated question generation has almost exclusively focused on generating factoid questions whose answers can be extracted from a single document. However, there is an increasing interest in developing systems that are capable of more complex multi-hop question generation (QG), where answering the question requires reasoning over multiple documents. In this work, we propose a simple and effective approach based on the transformer model for multi-hop QG. Our approach consists of specialized input representations, a supporting sentence classification objective, and training data weighting. Prior work on multi-hop QG considers the simplified setting of shorter documents and also advocates the use of entity-based graph structures as essential ingredients in model design. On the contrary, we showcase that our model can scale to the challenging setting of longer documents as input, does not rely on graph structures, and substantially outperforms the state-of-the-art approaches as measured by automated metrics and human evaluation.",/pdf/9fff1db99de6588d2af0c2a508c5ae693f4f5c74.pdf,,,,anonymous|a_simple_and_effective_model_for_multihop_question_generation,,,,,,,
WiZ3Z2HChE0,Modeling Multi-granularity Segmentation for Rare Words in Neural Machine Translation,['aclweb.org/ACL/ARR/2021/September/Paper287/Authors'],['Anonymous'],,"Segmenting rare words into subwords has become a commonly used and effective way to alleviate the open vocabulary problem in Neural Machine Translation (NMT). The existing dominant segmentation methods either give rare words a single segmentation or a fixed segmentation, which leads to a lack of morphological diversity in representing words. For rare words, we first obtain segmentation with different granularities through Byte Pair Encoding (BPE) and BPE-Dropout, and then propose \textsc{BPEatt} model to dynamically mix the BPE subwords and BPE-Dropout subwords, which enhances the encoder's ability to represent rich morphological information. Experiments on six translation benchmarks of different scales show that our proposed method significantly outperforms the baseline model and has obvious advantages over related methods.",/pdf/a415d38ca85823441437d37a224c1b981ec0de90.pdf,/attachment/dc6d1a3c47567fbed450aab3d8feb26572d7613c.zip,,,anonymous|modeling_multigranularity_segmentation_for_rare_words_in_neural_machine_translation,,,,,,,
lUegilCk6TY,GraphPrompt: Biomedical Entity Normalization Using Graph-based Prompt Templates,['aclweb.org/ACL/ARR/2021/September/Paper139/Authors'],['Anonymous'],,"Biomedical entity normalization unifies the language across biomedical experiments and studies, and further enables us to obtain a holistic view of life sciences. Current approaches mainly study the normalization of more standardized entities such as diseases and drugs, while disregarding the more ambiguous but crucial entities such as pathways, functions and cell types, hindering their real-world applications. To achieve biomedical entity normalization on these under-explored entities, we first introduce an expert-curated dataset OBO-syn encompassing 70 different types of entities and 2 million curated entity-synonym pairs. To utilize the unique graph structure in this dataset, we propose GraphPrompt, a prompt-based learning approach that creates prompt templates according to the graphs. GraphPrompt obtained 41.0% and 29.9% improvement on zero-shot and few-shot settings respectively, indicating the effectiveness of these graph-based prompt templates. We envision that our method GraphPrompt and OBO-syn dataset can be broadly applied to graph-based NLP tasks, and serve as the basis for analyzing diverse and accumulating biomedical data.",/pdf/a41e5f4ca0b980ce3dc132c58418795086e7ac35.pdf,,,,anonymous|graphprompt_biomedical_entity_normalization_using_graphbased_prompt_templates,,,,,,,/attachment/d60a6ed1a3c3b426f9ada9e39326761573c305c8.zip
htpgN820kub,,,,,,,,,,,,,,,,,
yaU2ZfyVFgF,Improving Personalized Dialogue Generation Models with Data-level Distillation and Diversification,['aclweb.org/ACL/ARR/2021/September/Paper138/Authors'],['Anonymous'],,"Personalized dialogue generation is a challenging task in which a persona-consistent response needs to be generated conditioning both persona texts and dialogue utterances, being more complex than conventional dialogues. Multiple persona texts and utterances exist in one sample and some of them can be distractors for generating. Thus even strong models have difficulty posing attention to suitable personas so generating persona-irrelevant responses. Besides, the limited data scale and diversity further affect the performance. Thus, we start from data and propose to boost the model in data-level distillation and diversification (D$^3$). We first distill the original training samples into simplified persona-consistent ones, lowering the difficulty by removing redundant information in personas and dialogue history. Next in the diversification, we increase both the amount and diversity of distilled data to ease its insufficiency. A model will be trained via curricula, first on easier augmented samples and then on harder original ones. Experiments on the PersonaChat benchmark dataset illustrate the superiority of our method when packed with two strong base dialogue models (Transformer and GPT2) on various automatic metrics and human evaluation. ",/pdf/987de95581fdb9ab702bd1805157bfad7214a4ad.pdf,/attachment/8820527c58a2f2fb08b21e59e0aac0ec0d47e73b.zip,,,anonymous|improving_personalized_dialogue_generation_models_with_datalevel_distillation_and_diversification,,,,,,,
oQ43ZecmCwe,Towards Comprehensive Patent Approval Predictions:Beyond Traditional Document Classification,['aclweb.org/ACL/ARR/2021/September/Paper277/Authors'],['Anonymous'],,"Predicting the approval chance of a patent application is a challenging problem involving multiple facets. The most crucial facet is arguably the novelty --- \emph{35 U.S. Code § 102} rejects more recent applications that have very similar prior arts. Such novelty evaluations differ the patent approval prediction from conventional document classification --- Successful patent applications may share similar writing patterns; however, too-similar newer applications would receive the opposite label, thus confusing standard document classifiers (e.g., BERT). To address this issue, we propose a novel framework \our that unifies the document classifier with handcrafted features, particularly time-dependent novelty scores. Specifically, we formulate the novelty scores by comparing each application with millions of prior arts using a hybrid of efficient filters and a neural bi-encoder. Moreover, we impose a new regularization term into the classification objective to enforce the monotonic change of approval prediction w.r.t. novelty scores. From extensive experiments on the large-scale USPTO dataset, we find that our time-dependent novelty features offer a boost on top of the document classifier. Also, our monotonic regularization, while shrinking the search space, can drive the optimizer to better local optima, yielding empirical performance gains. Ex-post analysis of prediction scores further confirms that the document classifier and handcrafted features capture distinct sets of learning information. ",/pdf/010074775d98c36b2c3674f3f85f20c24fd57a5f.pdf,,,,anonymous|towards_comprehensive_patent_approval_predictionsbeyond_traditional_document_classification,,,,,,,
0B-Sz3m7KH5,EIDER: Evidence-enhanced Document-level Relation Extraction,['aclweb.org/ACL/ARR/2021/September/Paper221/Authors'],['Anonymous'],,"Document-level relation extraction (DocRE) aims to extract the semantic relations among entity pairs in a document. In DocRE, we observe that (1) a subset of the sentences in a document, noted as the evidence sentences, are often sufficient for predicting the relation between a specific entity pair; (2) these evidence sentences can be extracted in an effective and lightweight manner: by multi-task learning along with the RE model or by heuristic rules. In this paper, we propose a novel DocRE framework called Eider that automatically extracts and makes use of evidence. Eider enhances a DocRE model by combining the inference results from the evidence sentences and the original document through a blending layer. The performance can be further improved by jointly training an RE model with an evidence extraction model via multi-task learning. If human-annotated evidence is not available, we can use the evidence extracted by this joint model or by several heuristic rules. Extensive experiments show that Eider achieves state-of-the-art performance on the DocRED, CDR, and GDA datasets. Remarkably, Eider outperforms the runner-up by 1.37/1.26 Ign F1/F1 on DocRED. In particular, Eider-RoBERTa$_\text{large}$ significantly improves the performance on entity pairs requiring co-reference/multi-hop reasoning by 1.98/2.08 F1, respectively.",/pdf/3ab03c2f5a550585dea072f6df8fecf02875eb38.pdf,,,,anonymous|eider_evidenceenhanced_documentlevel_relation_extraction,,,,https://openreview.net/forum?id=Z9arKXstUo5,/attachment/1457354f1c3511d596a5e0cb52dc3232655d4f10.pdf,/attachment/a5f3b03e62c3cdc49c4ed2649b3a2aa9d27b6080.pdf,
t5zJTjgwngX,DocEE: A Large-Scale Dataset for Document-level Event Extraction,['aclweb.org/ACL/ARR/2021/September/Paper73/Authors'],['Anonymous'],,"Event extraction (EE) is the task of identifying events and their types, along with the involved arguments. Despite the great success in sentence-level event extraction, events are more naturally presented in the form of document, with event arguments scattering in multiple sentences. However, a major barrier to promote document-level event extraction has been the lack of large-scale and practical training and evaluation datasets. In this paper, we present DocEE, a new document-level EE dataset including 20,000+ events, 100,000+ arguments. We highlight three features: large-scale annotations, fine-grained event arguments and application-oriented settings. Experiments show that even SOTA models show inferior performance on DocEE, especially in cross-domain settings, indicating that DocEE is still a challenging task. We will publish DocEE upon acceptance.",/pdf/3b4222f22b53a932612a464bf41fa7b62dde8918.pdf,,,,anonymous|docee_a_largescale_dataset_for_documentlevel_event_extraction,,,,,,,/attachment/634b434429d4bb7d694c6c260c417cb58a3751f1.zip
Dys8zbWqW3C,Enhancing the Nonlinear Mutual Dependencies in Transformers with Mutual Information,['aclweb.org/ACL/ARR/2021/September/Paper21/Authors'],['Anonymous'],,"The Predictive Uncertainty problem does exist in Transformers. We present that pre-trained Transformers can be further regularized by mutual information to alleviate such issue in Neural Machine Translation (NMT). In this paper, we explicitly capture the nonlinear mutual dependencies existing in decoder self-attentions to reduce the model uncertainty concerning token-token interactions. Specifically, we adopt an unsupervised objective of mutual information maximization on self-attentions with the contrastive learning methodology and construct the estimation of mutual information by using InfoNCE. Experimental results on WMT'14 En$\rightarrow$De, WMT'14 En$\rightarrow$Fr demonstrate the consistent effectiveness and evident improvements of our model over the strong baselines. Quantifying the model uncertainty again verifies our hypothesis.  The proposed plug-and-play approach can be easily incorporated and deployed into pre-trained Transformer models. Code will be released soon.",/pdf/745a0e40b04246b6bef96ad30f01468aba2a6606.pdf,,,,anonymous|enhancing_the_nonlinear_mutual_dependencies_in_transformers_with_mutual_information,,,,,,,
6zZEZD2LsxW,AMR-to-text Generation with Graph Structure Reconstruction and Coverage,['aclweb.org/ACL/ARR/2021/September/Paper51/Authors'],['Anonymous'],,"Generating text from semantic representations such as AMR is a challenging task. Previous research formalizes this task as a graph-to-sequence learning problem and uses various graph neural networks to model the graph structure. Recently, methods based on pre-trained models improve the performance significantly due to pre-trained on a large text corpus. However, these pre-trained model-based methods take linearized AMR graphs as input and may lose the information of graph structure.  In addition, these methods don't consider the coverage of the AMR graph. Therefore, some nodes in the graph may be lost or repeated in the generated text. To address these problems, we propose a graph structure and coverage enhanced model for this task. To enhance the information of graph structure, we design two auxiliary objectives, relationship prediction and distance prediction of nodes in AMR graphs. To consider the coverage of AMR graphs, we design a coverage mechanism to solve the problem of information under-translation or over-translation in AMR-to-text generation. 
 Experimental results on three standard datasets show that our proposed method outperforms the existing methods significantly.",/pdf/1a1376986911b82c3dce85734a2e9cf92cd64a93.pdf,/attachment/64af28035595cf24b90fe0a8efd933d8757f1a37.zip,,,anonymous|amrtotext_generation_with_graph_structure_reconstruction_and_coverage,,,,,,,
l3UVZ30slvl,Rebuild and Ensemble: Exploring Defense Against Text Adversaries,['aclweb.org/ACL/ARR/2021/September/Paper4/Authors'],['Anonymous'],,"Adversarial attacks can mislead strong neural models; as such, in NLP tasks, substitution-based attacks are difficult to defend. 
Current defense methods usually assume that the substitution candidates are accessible, which cannot be widely applied against substitution-agnostic attacks. 
In this paper, we propose a \textbf{Rebuild and Ensemble} Framework to defend against adversarial attacks in texts without knowing the candidates.
We propose a rebuild mechanism to train a robust model and ensemble the rebuilt texts during inference to achieve good adversarial defense results.
Experiments show that our method can improve accuracy under the current strong attack methods. ",/pdf/1ff6b0b6b20d5b8d917f6ea43df289897d12539f.pdf,,,,anonymous|rebuild_and_ensemble_exploring_defense_against_text_adversaries,,,,,,,
8yJ0RpqNppY,Learning Emotion-Aware Contextual Representations for Emotion Cause Analysis,['aclweb.org/ACL/ARR/2021/September/Paper59/Authors'],['Anonymous'],,"Emotion Cause Analysis has been a key topic in natural language processing. Previous works focus on Emotion Cause Extraction (ECE), a clause-level classification task aimed at extracting causes of certain given emotion in text. The task has been expanded to Emotion Cause Pair Extraction (ECPE) that focus on extracting both emotions and corresponding causes in the context. Most existing methods for the ECPE task implement a joint model that performs extracting and matching of emotion and cause clauses simultaneously. However, we argue that different input features are needed for the two subtasks, thus sharing contextual representations may be suboptimal. In this work, we propose a pipelined approach that builds on two independent pre-trained encoders, in which the emotion extraction model only provide input features for the cause extraction model. Based on a series of careful experiments, we validate that our model can create distinct contextual representations according to specific emotional texts, and thus achieve state-of-the-art performance in both ECE and ECPE tasks, with the absolute F1 improvements of 1.5% and 4.72% over best previous works respectively. Besides, we apply a set of simple clause selection rules to extract multiple pairs in the document, strengthening the applicability of our approach in real world scenarios.",/pdf/68a04cdb4cb59a58049e505bb5841595c4882a79.pdf,/attachment/888b65803f9b2129520319bd66c9ec4dc9c327c0.zip,,,anonymous|learning_emotionaware_contextual_representations_for_emotion_cause_analysis,,,,,,,
wVdX61hrmpK,CDM: Combining Extraction and Generation for Definition Modeling,['aclweb.org/ACL/ARR/2021/September/Paper248/Authors'],['Anonymous'],,"Definitions are essential for term understanding. Recently, there is an increasing interest in extracting and generating definitions of terms automatically. However, existing approaches for this task are either extractive or abstractive - definitions are either extracted from a corpus or generated by a language generation model. In this paper, we propose to combine extraction and generation for definition modeling: first extract self- and correlative definitional information of target terms from the Web and then generate the final definitions by incorporating the extracted definitional information. Experiments demonstrate our framework can generate high-quality definitions for technical terms and outperform state-of-the-art models for definition modeling significantly.",/pdf/51776f2a6d7a4828142760da740384fe03ed5cf4.pdf,/attachment/1b1816bfa1602d59079c9a517c0ca5f27325d27d.zip,,,anonymous|cdm_combining_extraction_and_generation_for_definition_modeling,,,,,,,/attachment/a1187f0671bc281882896d044415372892eea93d.zip
i7DhBQrfi-e,SOS: Systematic Offensive Stereotyping Bias in Word Embeddings,['aclweb.org/ACL/ARR/2021/September/Paper37/Authors'],['Anonymous'],,"Hate speech detection models aim to provide a safe environment for marginalised social groups to express themselves. However, the bias in these models could lead to silencing those groups. In this paper, we introduce the systematic offensive stereotyping (SOS) bias metric. We propose a method to measure the SOS bias in different word embeddings and also investigate its influence on the downstream task of hate speech detection. Our results show that SOS bias against various groups exists in widely used word embeddings and that, in most cases, our SOS bias metric correlates positively with the bias statistics of published surveys on online abuse and hate. However, we found that it is not easy to prove that bias in word embeddings influences downstream task performance. Finally, we show that our SOS bias metric is more indicative of sexism and racism in the inspected word embeddings when used for sexism and racism detection than the stereotypical social biases.",/pdf/49d35afd3580040b76415bc11d0b511ae209a922.pdf,,,,anonymous|sos_systematic_offensive_stereotyping_bias_in_word_embeddings,,,,,,,
b61q_mqtf31,Graph Neural Networks for Multiparallel Word Alignment,['aclweb.org/ACL/ARR/2021/September/Paper292/Authors'],['Anonymous'],,"After a period of decrease, interest in word alignments is increasing again for their usefulness in domains  such as typological research, cross-lingual annotation projection and machine translation. Generally, alignment algorithms only use  bitext and do not make use of the fact that many parallel corpora are multiparallel. We propose to use graph neural networks (GNNs) and community detection algorithms to exploit the graph structure of multiparallel word alignments. Our GNN approach (i) utilizes information about the meaning, position and language of the input words, (ii) incorporates information from multiple parallel sentences, (iii) can remove edges from the initial alignments, and (iv) provides a prediction model that can generalize beyond the sentences it is trained on. We show that community detection algorithms can provide valuable information for multiparallel word alignment. We show on three word alignment datasets and on a downstream task that our method outperforms previous work. 
",/pdf/798799da37ec5fbe6ce17fb882db51f057dd8042.pdf,,,,anonymous|graph_neural_networks_for_multiparallel_word_alignment,,,,,,,
7SQh5IvfeLq,Achieving Reliable Human Assessment of Open-Domain Dialogue Systems,['aclweb.org/ACL/ARR/2021/September/Paper246/Authors'],['Anonymous'],,"Evaluation of open-domain dialogue systems is highly challenging and development of better techniques is highlighted time and again as desperately needed. Despite substantial efforts to carry out reliable live evaluation of systems in recent competitions, annotations have been abandoned and reported as too unreliable to yield sensible results. This is a serious problem since automatic metrics are not known to provide a good indication of what may or may not be a high-quality conversation. Answering the distress call of competitions that have emphasized the urgent need for better evaluation techniques in dialogue, we present the successful development of human evaluation that is highly reliable while still remaining feasible and low cost. Self-replication experiments reveal almost perfectly repeatable results with a correlation of $r=0.969$. Furthermore, due to the lack of appropriate methods of statistical significance testing, the likelihood of potential improvements to systems occurring due to chance is rarely taken into account in dialogue evaluation, and the evaluation we propose facilitates application of standard tests. Since we have developed a highly reliable evaluation method, new insights into system performance can be revealed. We therefore include a comparison of state-of-the-art models (i) with and without personas, to measure the contribution of personas to conversation quality, as well as (ii) prescribed versus freely chosen topics. Interestingly with respect to personas, results indicate that personas do not positively contribute to conversation quality as expected.",/pdf/fb59c5e7810c3a0cd174c307917c20ff20f5efd8.pdf,,,,anonymous|achieving_reliable_human_assessment_of_opendomain_dialogue_systems,,,,,,,
kV-PzsxIUu2,Should a Bot be Sarcastic? Understanding User Preferences Towards Sarcasm Generation,['aclweb.org/ACL/ARR/2021/September/Paper46/Authors'],['Anonymous'],,"Previous sarcasm generation research has focused on how to generate text that people perceive as sarcastic to create more human-like interactions. In this paper, we argue that we should first turn our attention to the question of when sarcasm should be generated, finding that human annotators consider many inputs to be unfit for sarcastic responses. Next, we introduce a theory-driven framework for sarcasm generation which allows us to better control the linguistic devices used during the generation process in order to measure their impact on sarcasm perception, finding that pragmatic insincerity and emotional markers are crucial elements in generating recognizable sarcasm.",/pdf/c81446d3cede1c7390b4986bc848da1b100c969e.pdf,,,,anonymous|should_a_bot_be_sarcastic_understanding_user_preferences_towards_sarcasm_generation,,,,,,,
Ch1K-07jfmy,Towards Overcoming Practical Obstacles to Deploying Deep Active Learning,['aclweb.org/ACL/ARR/2021/September/Paper26/Authors'],['Anonymous'],,"Active learning (AL) is a prominent technique for reducing the annotation effort required for training machine learning models. Deep learning offers a solution for several essential obstacles to deploying AL in practice but introduces many others. One of such problems is the excessive computational resources required to train an acquisition model and estimate its uncertainty on instances in the unlabeled pool. We propose two techniques that tackle this issue for text classification and tagging tasks, offering a substantial reduction of AL iteration duration and the computational overhead introduced by deep acquisition models in AL. We also demonstrate that our algorithm that leverages pseudolabeling and distilled models overcomes one of the obstacles revealed previously in the literature. Namely, it was shown that due to differences between an acquisition model used to select instances during AL and a successor model trained on the labeled data, the benefits of AL can diminish. We show that our algorithm, despite using a smaller and faster acquisition model, is capable of training a more expressive successor with higher performance.",/pdf/42322016e00802323ffa1c23aa5399ecdd30e2c5.pdf,,,,anonymous|towards_overcoming_practical_obstacles_to_deploying_deep_active_learning,,,,,,,
9WIYi_ruQhQ,,,,,,,,,,,,,,,,,
NVhMSb0UM0x,A Survey on Geocoding: Algorithms and Datasets for Toponym Resolution,['aclweb.org/ACL/ARR/2021/September/Paper8/Authors'],['Anonymous'],,"Geocoding, the task of converting unstructured text to structured spatial data, has recently seen progress thanks to a variety of new datasets, evaluation metrics, and machine-learning algorithms. We provide a survey to review, organize and analyze recent work on geocoding (also known as toponym resolution) where the text is matched to geospatial coordinates and/or ontologies. We summarize the findings of this research and suggest some promising directions for future work.",/pdf/2eb22fbfa54b8f115d0031c0048952052e61ebbc.pdf,,,,anonymous|a_survey_on_geocoding_algorithms_and_datasets_for_toponym_resolution,,,,https://openreview.net/forum?id=-koTfmSDsM,/attachment/183e3f8769b1ca3ffea81bd1c73ba1f0ddeb3e09.pdf,/attachment/962291b57c92a37a20d515fd12c5ff61e13c806b.pdf,
XZDvxFlNi6G,Knowledge Neurons in Pretrained Transformers,['aclweb.org/ACL/ARR/2021/September/Paper278/Authors'],['Anonymous'],,"Large-scale pretrained language models are surprisingly good at recalling factual knowledge presented in the training corpus. In this paper, we present preliminary studies on how factual knowledge is stored in pretrained Transformers by introducing the concept of knowledge neurons. Specifically, we examine the fill-in-the-blank cloze task for BERT. Given a relational fact, we propose a knowledge attribution method to identify the neurons that express the fact. We find that the activation of such knowledge neurons is positively correlated to the expression of their corresponding facts. In our case studies, we attempt to leverage knowledge neurons to edit (such as update, and erase) specific factual knowledge without fine-tuning. Our results shed light on understanding the storage of knowledge within pretrained Transformers.",/pdf/b404996d00f437174166becb92da39838f0fe16b.pdf,/attachment/7af85385ad0ad54d778a787be153dd456421029a.zip,,,anonymous|knowledge_neurons_in_pretrained_transformers,,,,,,,/attachment/292dea58d5b2f3431e1d86c43e3043ebbfc333cc.zip
8jL2PN3iY3M,Personalized News Recommendation with Candidate-aware User Modeling,['aclweb.org/ACL/ARR/2021/September/Paper72/Authors'],['Anonymous'],,"News recommendation aims to match news with personalized user interest. Existing methods for news recommendation usually model user interest from historical clicked news without the consideration of candidate news. However, each user usually has multiple interests, and it is difficult for these methods to accurately match a candidate news with a specific user interest. In this paper, we present a candidate-aware user modeling method for personalized news recommendation, which can incorporate candidate news into user modeling for better matching between candidate news and user interest. More specifically, we propose a candidate-aware self-attention network that uses candidate news as guidance to model candidate-aware global user interest. In addition, we propose a candidate-aware CNN network to incorporate candidate news into local behavior context modeling to learn candidate-aware short-term user interest. Besides, we use a candidate-aware attention network to aggregate previously clicked news weighted by their relevance with candidate news to build candidate-aware user representation. The experiments on real-world datasets show the effectiveness of our approach in improving news recommendation performance.",/pdf/20080b0f8128e3ef22530b14e298c53221b481a4.pdf,/attachment/606d6fd67d3cbe6a3c7bbe1416718c30b03b9114.zip,,,anonymous|personalized_news_recommendation_with_candidateaware_user_modeling,,,,,,,
HJSSYU3swSj,Learning Functional Distributional Semantics with Visual Data,['aclweb.org/ACL/ARR/2021/September/Paper273/Authors'],['Anonymous'],,"Functional Distributional Semantics is a recently proposed framework for learning distributional semantics that provides linguistic interpretability. It models the meaning of a word as a binary classifier rather than a numerical vector. In this work, we propose a method to train a Functional Distributional Semantics model with grounded visual data. We train it on the Visual Genome dataset, which is closer to the kind of data encountered in human language acquisition than a large text corpus. On four external evaluation datasets, our model outperforms previous work on learning semantics from Visual Genome.",/pdf/2d0568900a59f958a557f7da40021501279c1dc1.pdf,,,,anonymous|learning_functional_distributional_semantics_with_visual_data,,,,,,,
2CkBtUsrKbs,Pseudo-Error Generation for Grammatical Error Correction Based on Learner’s First Language,['aclweb.org/ACL/ARR/2021/September/Paper143/Authors'],['Anonymous'],,"We propose to adapt grammatical error correction (GEC) systems to the learners' first language (L1) by generating artificial errors that reflect the L1 influence. To this end, we employ two simple approaches: fine-tuning a back-translation model on L1-annotated data; and controlling the output of a back-translation model and generating artificial errors that follow the L1-dependant error type distribution. We demonstrate that, despite the simplicity of the model and the paucity of the L1-annotated data, our methods succeed in adapting GEC models to some languages. We also show that generating L1-adapted artificial errors is orthogonal to the existing method that directly adapts the GEC model to each L1. Lastly, we present an analysis of the pseudo errors generated by our models and show that they approximately capture the L1-specific error patterns. ",/pdf/bb3988706b7c3313ec2a577d50b83a866287212f.pdf,,,,anonymous|pseudoerror_generation_for_grammatical_error_correction_based_on_learners_first_language,,,,,,,
AnaQAjSkPXg,Benchmarking Answer Verification Methods for Question Answering-Based Summarization Evaluation Metrics,['aclweb.org/ACL/ARR/2021/September/Paper66/Authors'],['Anonymous'],,"Question answering-based summarization evaluation metrics must automatically determine whether the QA model's prediction is correct or not, a task known as answer verification. In this work, we benchmark the lexical answer verification methods which have been used by current QA-based metrics as well as two more sophisticated text comparison methods, BERTScore and LERC. We find that LERC out-performs the other methods in some settings while remaining statistically indistinguishable from lexical overlap in others. However, our experiments reveal that improved verification performance does not necessarily translate to overall QA-based metric quality: In some scenarios, using a worse verification method -- or using none at all -- has comparable performance to using the best verification method, a result that we attribute to properties of the datasets.",/pdf/ae67bdf062a2ae03523d0656d46186833170309c.pdf,,,,anonymous|benchmarking_answer_verification_methods_for_question_answeringbased_summarization_evaluation_metrics,,,,,,,
mB_pLPuO7S_,A Variational Hierarchical Model for Neural Cross-Lingual Summarization,['aclweb.org/ACL/ARR/2021/September/Paper91/Authors'],['Anonymous'],,"The goal of the cross-lingual summarization (CLS) is to convert a document in one language (e.g., English) to a summary in another one (e.g., Chinese), which is essentially the combination of machine translation (MT) and monolingual summarization (MS). Existing studies on CLS mainly focus on utilizing pipeline methods or jointly training an end-to-end model through an auxiliary MT or MS objective. However, it is very challenging for the model to directly conduct CLS as it requires both the abilities to translate and summarize. Besides, the processes of MT and MS have a hierarchical relationship with CLS. Therefore, we propose a hierarchical model for the CLS task, based on the conditional variational auto-encoder. The hierarchical model contains two kinds of latent variables at the local and global levels, respectively. At the local level, there are two latent variables, one for translation and the other for summarization. As for the global level, there is another latent variable for cross-lingual summarization conditioned on the two local-level variables. Experiments on two language directions (English-Chinese) verify the effectiveness and superiority of the proposed approach, yielding state-of-the-art performances. In addition, we show that our model is able to generate better cross-lingual summaries than comparison models in the few-shot setting.",/pdf/f1527538dda8460ddaf0c80d1780fb315291b482.pdf,/attachment/2153f573f09036a1a2c6fa88d122ba2f65e671d1.zip,,,anonymous|a_variational_hierarchical_model_for_neural_crosslingual_summarization,,,,,,,
sgmCcvG-3xH,ASSIST: Towards Label Noise-Robust Dialogue State Tracking,['aclweb.org/ACL/ARR/2021/September/Paper187/Authors'],['Anonymous'],,"The MultiWOZ 2.0 dataset has greatly boosted the research on dialogue state tracking (DST). However, substantial noise has been discovered in its state annotations. Such noise brings about huge challenges for training DST models robustly. Although several refined versions, including MultiWOZ 2.1-2.4, have been published recently, there are still lots of noisy labels, especially in the training set. Besides, it is costly to rectify all the problematic annotations. In this paper, instead of improving the annotation quality further, we propose a general framework, named ASSIST (lAbel noiSe-robuSt dIalogue State Tracking), to train DST models robustly from noisy labels. ASSIST first generates pseudo labels for each sample in the training set by using an auxiliary model trained on a small clean dataset, then puts the generated pseudo labels and vanilla noisy labels together to train the primary model. We show the validity of ASSIST theoretically. Experimental results also demonstrate that ASSIST improves the joint goal accuracy of DST by up to $28.16\%$ on the initial version MultiWOZ 2.0 and $8.41\%$ on the latest version MultiWOZ 2.4, respectively. ",/pdf/892100b0039cb2a8e9d4fac9f78f0e73aa71d9ef.pdf,/attachment/1e3646bfd04b0f545aa02b43999eb4c2e485580f.zip,,,anonymous|assist_towards_label_noiserobust_dialogue_state_tracking,,,,,,,
4VzVcbbF9Hs,Utterance Rewriting with Contrastive Learning in Multi-turn Dialogue,['aclweb.org/ACL/ARR/2021/September/Paper220/Authors'],['Anonymous'],,"Context modeling plays a significant role in building multi-turn dialogue systems. In order to make full use of context information, systems can use Incomplete Utterance Rewriting(IUR) methods to simplify the multi-turn dialogue into single-turn by merging current utterance and context information into a self-contained utterance. However, previous approaches ignore the intent consistency between the original query and rewritten query. The detection of omitted or coreferred locations in the original query can be further improved. In this paper, we introduce contrastive learning and multi-task learning to jointly model the problem. Our method benefits from carefully designed self-supervised objectives, which act as auxiliary tasks to capture semantics at both sentence-level and token-level. The experiments show that our proposed model achieves state-of-the-art performance on several public datasets.",/pdf/eb0a273fe20e4f79cba5d8914b13dde401c5b29a.pdf,,,,anonymous|utterance_rewriting_with_contrastive_learning_in_multiturn_dialogue,,,,,,,
